cricheroes_match_id,cricheroes_team_id,cricheroes_player_id,batting_order,is_captain,is_keeper,is_substitute
2308545,1597087,8445343,2,0,0,0
2308545,1597087,8444550,4,1,0,0
2379201,1597085,809867,1,0,0,0
2379201,1597085,809163,2,0,0,0
2379201,1597085,8556544,3,0,0,0
2379201,1597085,8445414,4,0,0,0
2379201,1597085,8444668,5,0,0,0
2379201,1597085,8445292,6,0,0,0
2379201,1597085,5922441,7,1,0,0
2379201,1597087,8578931,1,0,0,0
2379201,1597087,8445420,6,0,0,0
2379201,1597087,10031492,5,0,0,0
2379201,1597087,8452770,3,0,0,0
2379201,1597087,8846097,7,0,0,0
2379201,1597087,8445343,2,0,0,0
2379201,1597087,8444550,4,1,0,0
2379201,1597087,10052159,8,0,0,0
3903839,1597087,8578931,1,0,0,0
3903839,1597087,8846097,2,0,0,0
3903839,1597087,8445420,3,0,1,0
3903839,1597087,8452770,4,0,0,0
3903839,1597087,8444550,5,1,0,0
3903839,1597087,10031492,6,0,0,0
3903839,1597087,8445343,7,0,0,0
3903839,1597088,8556484,1,0,0,0
3903839,1597088,8445462,3,1,0,0
3903839,1597088,1224122,4,0,0,0
3903839,1597088,8445318,5,0,0,0
3903839,1597088,10052245,7,0,0,0
3903839,1597088,7662592,6,0,0,0
3903839,1597088,8453971,2,0,0,0
3903851,1597090,8445309,1,0,0,0
3903851,1597090,8444531,2,0,0,0
3903851,1597090,10031570,3,0,0,0
3903851,1597090,8469155,4,0,0,0
3903851,1597090,4416809,5,0,0,0
3903851,1597090,8445368,6,0,0,0
3903851,1597090,8445342,7,0,0,0
3903851,1597091,8445356,1,0,0,0
3903851,1597091,10046726,3,0,0,0
3903851,1597091,8445499,4,0,0,0
3903851,1597091,5994303,6,0,0,0
3903851,1597091,4048334,5,0,0,0
3903851,1597091,4143096,2,0,0,0
3903859,1597088,8556484,1,0,0,0
3903859,1597088,8453971,2,0,0,0
3903859,1597088,8445462,3,1,0,0
3903859,1597088,1224122,4,0,0,0
3903859,1597088,8445318,5,0,0,0
3903859,1597088,10052245,6,0,0,0
3903859,1597084,5387685,1,0,0,0
3903859,1597084,10052031,3,0,0,0
3903859,1597084,8444682,4,0,0,0
3903859,1597084,8814171,5,0,0,0
3903859,1597084,8129644,6,1,0,0
3903859,1597084,8670699,2,0,1,0
3903859,1597088,7662592,,0,0,0
3903870,1597090,8445309,1,0,0,0
3903870,1597090,8444531,2,0,0,0
3903870,1597090,8445368,3,0,0,0
3903870,1597090,8469155,4,0,0,0
3903870,1597090,8445342,5,0,0,0
3903870,1597090,4416809,6,0,0,0
3903870,1597085,809867,1,0,0,0
3903870,1597085,8556544,3,0,1,0
3903870,1597085,8469156,7,0,0,0
3903870,1597085,5922441,6,0,0,0
3903870,1597085,8445414,4,0,0,0
3903870,1597085,8445292,5,0,0,0
3903870,1597085,809163,2,0,0,0
3903870,1597090,10031570,,0,0,0
3903903,1597087,8578931,1,0,0,0
3903903,1597087,8846097,2,0,0,0
3903903,1597087,8445420,3,0,1,0
3903903,1597087,8452770,4,0,0,0
3903903,1597087,10031492,5,0,0,0
3903903,1597091,8445356,1,0,0,0
3903903,1597091,10046726,3,0,0,0
3903903,1597091,5994303,5,0,0,0
3903903,1597091,4048334,6,1,0,0
3903903,1597091,4143096,2,0,0,0
3903903,1597091,8445499,4,0,0,0
3903903,1597087,8445343,,0,0,0
3903906,1597085,809867,1,0,0,0
3903906,1597085,809163,2,0,0,0
3903906,1597085,8556544,3,0,0,0
3903906,1597085,8445414,4,0,0,0
3903906,1597085,5922441,5,1,0,0
3903906,1597088,8556484,1,0,0,0
3903906,1597088,8445462,3,1,0,0
3903906,1597088,1224122,5,0,0,0
3903906,1597088,7662592,2,0,0,0
3903906,1597088,8445318,4,0,0,0
3903906,1597088,8453971,,0,0,0
3903906,1597088,10052245,6,0,0,0
3903906,1597085,8469156,,0,0,0
3903911,1597091,8445356,1,0,0,0
3903911,1597091,4143096,2,0,0,0
3903911,1597091,10046726,3,0,0,0
3903911,1597091,8445499,4,0,0,0
3903911,1597091,5994303,5,0,0,0
3903911,1597091,4048334,6,1,0,0
3903911,1597091,6508655,7,0,0,0
3903911,1597084,5387685,1,0,0,0
3903911,1597084,10052031,3,0,0,0
3903911,1597084,8444682,4,0,0,0
3903911,1597084,8814171,7,0,0,0
3903911,1597084,8129644,6,1,0,0
