cricheroes_tournament_id,cricheroes_team_id,cricheroes_player_id,name,rank,matches,batting,bowling,fielding,total
577076,1597090,8445342,Guruprasad Ramachandrachar,34,5,0.200,4.293,1.104,5.597
577076,388115,8670699,Ajith P,35,6,0.100,2.904,2.544,5.548
577076,1597090,8445420,Madhusudhan K S,36,6,3.709,0.441,1.200,5.350
577076,1597088,8469156,Sridhar,37,8,4.173,0.770,0.000,4.943
577076,1597091,4048334,Ravi Aniruddha,38,6,3.500,1.095,0.000,4.595
577076,388115,8450899,Sandeep,39,6,1.900,2.414,0.000,4.314
577076,1597091,5387685,Aprameya Guruprasad,40,6,2.882,0.112,0.768,3.762
577076,1597090,10052264,Srikrishna,41,6,1.600,2.137,0.000,3.737
577076,1597088,6508655,Sudharshan,42,6,0.400,3.043,0.000,3.443
577076,1597090,8445292,Mahesh,43,4,1.973,0.000,1.440,3.413
577076,1597091,4048300,Vadiraj,44,6,1.900,1.002,0.000,2.902
577076,388115,10052031,Yashu,45,4,0.914,0.869,0.672,2.455
577076,388115,8556507,Prabhanjan,46,6,2.034,-0.008,0.144,2.170
577076,1597091,20546462,Hrishikesha,47,6,0.200,1.170,0.000,1.370
577076,1597084,19048034,Balaji,48,3,0.100,-0.032,0.960,1.028
983328,1597084,10031492,Mady,1,8,11.695,8.737,1.968,22.400
983328,6767130,809163,Pranav Pk,2,9,9.910,5.654,3.792,19.356
983328,6767130,8452770,Ashrith Kashyap,3,9,12.976,4.652,1.704,19.332
983328,6767128,5994303,Srikanth T K,4,7,15.733,1.181,1.440,18.354
983328,388115,4416809,Bharath G S Agasthya,5,6,9.470,7.458,0.576,17.504
983328,1597084,8814171,Pavan Raghavendra,6,8,11.154,1.862,3.528,16.544
983328,6767128,8445414,Tej,7,7,8.354,5.583,1.392,15.329
983328,6733389,8444531,Shreenidhi Prakash,8,6,9.271,4.587,1.392,15.250
983328,6767134,8445368,Jeethu,9,6,6.711,5.069,1.368,13.148
983328,388115,8450899,Sandeep,10,8,6.448,5.537,0.000,11.985
983328,6733389,8445318,K S Akshay Kaushik,11,5,10.867,0.000,1.104,11.971
983328,1597084,8129644,Pavan Kashyap,12,8,2.502,7.476,1.104,11.082
983328,1597084,3542117,Amith P,13,8,7.596,2.232,0.936,10.764
983328,388115,8444682,Pavan Gautham,14,8,7.750,2.321,0.384,10.455
983328,6733389,24597937,Pradhdhyumna Kashyap Hp,15,6,7.272,1.475,0.960,9.707
983328,6767134,1224122,Badriprasad,16,6,6.198,2.921,0.504,9.623
983328,6767132,10339400,Aprameya Guruprasad,17,5,6.818,2.420,0.288,9.526
983328,6767130,8578931,Srihari,18,9,6.252,2.642,0.480,9.374
983328,6767132,8445343,Anantha Madhava,19,5,6.835,1.756,0.600,9.191
983328,6767132,4143096,Aniruddha Dv,20,6,6.871,0.800,1.344,9.015
983328,388115,10052031,Yashu,21,7,6.661,1.464,0.672,8.797
983328,6767130,29631844,Sridhar Dixit,22,9,7.022,0.911,0.672,8.605
983328,6767134,8445420,Madhusudhan K S,23,6,4.559,2.588,1.392,8.539
983328,1597084,14211268,Pramit,24,3,4.773,2.358,1.200,8.331
983328,6767134,8445499,Paneendra Gautham,25,5,5.700,1.332,0.912,7.944
983328,6767128,5922441,Prasanna,26,7,6.097,1.744,0.000,7.841
983328,6733389,6508655,Sudharshan,27,5,1.900,4.656,1.200,7.756
983328,3881115,19645071,Achuth,28,2,6.309,1.277,0.000,7.586
983328,388115,29632164,Raghunandan,29,7,6.023,0.243,1.272,7.538
983328,6767130,10047098,Aditya Hatwar,30,8,5.633,0.537,1.032,7.202
983328,1597084,10046726,Shrivatsa Hatwar,31,8,5.946,0.079,0.720,6.745
983328,6767128,8556544,Sudhindhra,32,7,4.889,1.473,0.360,6.722
983328,388115,8670699,Ajith P,33,7,0.700,4.346,1.392,6.438
983328,6767134,8445342,Guruprasad Ramachandrachar,34,6,1.600,3.542,0.576,5.718
983328,6767128,10075428,Prabhav Krishna,35,7,1.606,2.596,1.488,5.690
983328,6767128,8556484,Srinidhi Ns,36,7,1.608,3.277,0.720,5.605
983328,6767128,8846097,Vishnunandan,37,7,0.500,2.583,2.472,5.555
983328,388115,10052159,Praveena,38,8,3.000,1.930,0.552,5.482
983328,6767134,8445292,Mahesh,39,4,5.337,-0.020,0.000,5.317
983328,6767130,8444550,Bharadwaj Srivatsa,40,7,4.462,0.000,0.624,5.086
983328,6767132,4048334,Ravi Aniruddha,41,6,2.137,1.290,1.632,5.059
983328,6767130,7662592,Vittala,42,9,0.900,3.379,0.576,4.855
983328,6767132,4048300,Vadiraj,43,6,2.500,0.915,0.960,4.375
983328,6733389,8469156,Sridhar,44,5,0.800,1.880,1.584,4.264
983328,6733389,29631807,Krishnamoorthy,45,6,1.524,1.948,0.192,3.664
983328,6733389,8445462,Prasad K S,46,6,2.500,1.029,0.000,3.529
983328,6767134,10117071,Anantha,47,4,1.300,2.204,0.000,3.504
983328,6767132,29631917,Hrishikesha,48,6,1.000,1.837,0.000,2.837
983328,1597084,19048034,Balaji,49,8,0.200,1.918,0.000,2.118
983328,6767132,8444668,Srisha Badarayana H S,50,4,0.100,1.128,0.696,1.924
983328,1597084,8453971,Srikanth Krishnamurthy,51,3,0.200,0.000,0.720,0.920
983328,6767134,10052264,Srikrishna,52,2,0.400,0.034,0.000,0.434
1462709,6767128,5994303,Srikanth T K,1,8,31.123,0.920,0.960,33.003
1462709,6767128,8445414,Tej,2,8,15.816,6.124,5.760,27.700
1462709,6733389,8444531,Shreenidhi Prakash,3,8,10.536,10.907,1.638,23.081
1462709,1597084,8129644,Pavan Kashyap,4,9,12.771,3.423,3.936,20.130
1462709,3881115,4416809,Bharath G S Agasthya,5,6,12.075,3.557,2.640,18.272
1462709,6733389,24597937,Pradhdhyumna Kashyap Hp,6,8,11.747,4.666,1.680,18.093
1462709,1597084,3542117,Amith P,7,9,14.731,1.421,1.200,17.352
1462709,6767130,8452770,Ashrith Kashyap,8,6,14.855,1.160,0.000,16.015
1462709,1597084,10031492,Mady,9,9,5.011,8.443,2.352,15.806
1462709,6767134,8445499,Paneendra Gautham,10,7,12.618,2.718,0.342,15.678
1462709,6733389,8445318,K S Akshay Kaushik,11,8,15.218,-0.069,0.384,15.533
1462709,6767130,809163,Pranav Pk,12,6,9.744,4.694,0.432,14.870
1462709,6733389,29631807,Krishnamoorthy,13,7,8.375,6.071,0.192,14.638
1462709,6767134,8445420,Madhusudhan K S,14,7,8.669,4.155,0.384,13.208
1462709,1597084,15348376,Pavan Dp,15,9,7.473,3.191,2.256,12.920
1462709,6767134,8445368,Jeethu,16,7,7.527,2.943,1.458,11.928
1462709,6767128,8556484,Srinidhi Ns,17,8,6.231,2.864,1.152,10.247
1462709,6767128,8556544,Sudhindhra,18,7,6.532,1.960,1.392,9.884
1462709,6767134,1224122,Badriprasad,19,7,4.901,3.169,1.392,9.462
1462709,6733389,6508655,Sudharshan,20,8,0.300,6.138,2.880,9.318
1462709,1597084,19048034,Balaji,21,9,2.820,6.305,0.192,9.317
1462709,6767130,8444550,Bharadwaj Srivatsa,22,6,5.302,-0.033,4.032,9.301
1462709,6767134,8445292,Mahesh,23,6,7.256,0.000,1.440,8.696
1462709,1597084,8453971,Srikanth Krishnamurthy,24,9,7.694,0.087,0.768,8.549
1462709,6767132,4048334,Ravi Aniruddha,25,6,6.926,0.938,0.480,8.344
1462709,6767134,8445342,Guruprasad Ramachandrachar,26,7,0.200,3.309,3.906,7.415
1462709,6767128,8846097,Vishnunandan,27,8,1.324,2.609,2.304,6.237
1462709,6767132,4143096,Aniruddha Dv,28,6,4.367,-0.104,1.734,5.997
1462709,3881115,8444682,Pavan Gautham,29,6,4.018,1.576,0.384,5.978
1462709,6767132,10339400,Aprameya Guruprasad,30,6,3.266,2.093,0.600,5.959
1462709,3881115,29632164,Raghunandan,31,5,3.529,0.503,1.920,5.952
1462709,6767130,7662592,Vittala,32,6,2.001,3.158,0.600,5.759
1462709,6767132,8445343,Anantha Madhava,33,4,2.412,2.000,0.294,4.706
1462709,3881115,10052031,Yashu,34,5,3.500,-0.120,0.960,4.340
1462709,6767128,5922441,Prasanna,35,6,1.600,0.675,1.872,4.147
1462709,6767128,10075428,Prabhav Krishna,36,7,3.200,0.806,0.000,4.006
1462709,3881115,8450899,Sandeep,37,5,3.124,0.540,0.000,3.664
1462709,6733389,8445462,Prasad K S,38,7,2.600,0.627,0.432,3.659
1462709,6767132,8444668,Srisha Badarayana H S,39,5,1.573,-0.073,1.422,2.922
1462709,6733389,8469156,Sridhar,40,8,0.800,1.529,0.192,2.521
1462709,6767132,4048300,Vadiraj,41,6,2.100,0.406,0.000,2.506
1462709,3881115,10052159,Praveena,42,4,2.000,0.499,0.000,2.499
1462709,1597084,10046726,Shrivatsa Hatwar,43,4,1.830,0.167,0.192,2.189
1462709,6767134,10117071,Anantha,44,3,0.700,1.483,0.000,2.183
1462709,6767132,29631917,Hrishikesha,45,5,1.200,0.582,0.000,1.782
1462709,6767130,29631844,Sridhar Dixit,46,6,0.800,0.649,0.000,1.449
1462709,6767130,10047098,Aditya Hatwar,47,6,0.100,0.670,0.600,1.370
1462709,6767134,10052264,Srikrishna,48,4,1.000,0.320,0.000,1.320
1462709,3881115,8670699,Ajith P,49,4,0.000,1.052,0.144,1.196
1462709,3881115,29578223,Ajith P,50,2,0.200,-0.046,0.960,1.114
1462709,6767130,8578931,Srihari,51,2,0.870,0.087,0.000,0.957
