cricheroes_match_id,innings_number,cricheroes_team_id,bowling_order,cricheroes_player_id,name,overs,maidens,runs,wickets,dots,fours_conceded,sixes_conceded,wides,noballs,economy_rate
2379201,1,1597087,4,8452770,Ashrith Kashyap,2,0,20,2,6,0,2,2,1,10.00
2379201,1,1597087,5,8846097,Vishnunandan,1,0,18,0,0,0,2,2,0,18.00
2379201,2,1597085,1,809867,Prabhav PK,1,0,3,0,4,0,0,1,0,3.00
2379201,2,1597085,2,8445414,Tej,2,0,14,0,7,1,1,0,1,7.00
2379201,2,1597085,3,5922441,Prasanna  (c),2,0,6,2,9,0,0,3,0,3.00
2379201,2,1597085,4,809163,Pranav PK,1,0,7,0,2,1,0,0,0,7.00
2379201,2,1597085,5,8445292,Mahesh,1,0,15,0,3,0,2,0,1,15.00
3903839,1,1597088,1,8556484,Srinidhi NS,1,0,4,0,3,0,0,1,0,4.00
3903839,1,1597088,2,8445462,Prasad K S  (c),1,0,1,0,6,0,0,1,0,1.00
3903839,1,1597088,3,1224122,Badriprasad,2,0,18,0,4,1,1,1,1,9.00
3903839,1,1597088,4,8445318,K S AKSHAY KAUSHIK,1,0,3,0,3,0,0,0,0,3.00
3903839,1,1597088,5,10052245,Amith,1,0,32,0,2,1,4,3,1,32.00
3903839,1,1597088,6,7662592,Vittala,1,0,2,3,4,0,0,0,0,2.00
3903839,2,1597087,1,8578931,Srihari,1,0,2,0,5,0,0,1,0,2.00
3903839,2,1597087,2,8445420,Madhusudhan K S,1,0,7,0,3,1,0,1,0,7.00
3903839,2,1597087,3,10031492,Mady,1,0,14,0,2,0,2,0,0,14.00
3903839,2,1597087,4,8452770,Ashrith Kashyap,2,0,11,1,7,1,0,1,1,5.50
3903839,2,1597087,5,8846097,Vishnunandan,1,0,24,0,1,0,3,1,2,24.00
3903839,2,1597087,6,8445343,Anantha Madhava,0.1,0,5,0,0,1,0,1,0,30.00
3903851,1,1597091,1,8445356,Pradyumna,1,1,0,0,6,0,0,0,0,0.00
3903851,1,1597091,2,10046726,Shrivatsa Hatwar,1,0,5,0,5,1,0,1,0,5.00
3903851,1,1597091,3,8445499,Paneendra Gautham,1,0,14,1,3,0,2,0,1,14.00
3903851,1,1597091,4,5994303,Srikanth T K,2,0,29,0,8,0,4,3,1,14.50
3903851,1,1597091,5,4048334,Ravi Aniruddha,1,0,1,0,6,0,0,1,0,1.00
3903851,1,1597091,6,4143096,Aniruddha Dv,1,0,10,2,4,0,1,3,0,10.00
3903851,2,1597090,1,8445309,Sandeep,1,0,10,0,3,0,1,2,0,10.00
3903851,2,1597090,2,10031570,Sridhar Ramchandrachar,1,0,6,0,5,0,1,0,0,6.00
3903851,2,1597090,3,4416809,BHARATH G S AGASTHYA,2,0,15,2,5,1,1,0,0,7.50
3903851,2,1597090,4,8445342,Guruprasad Ramachandrachar,1,0,5,0,3,0,0,2,0,5.00
3903851,2,1597090,5,8445368,Jeethu,1,0,7,0,4,0,1,0,0,7.00
3903851,2,1597090,6,8444531,Shreenidhi Prakash,1,0,20,1,3,0,3,1,0,20.00
