cricheroes_match_id,cricheroes_tournament_id,season,match_number,stage,cricheroes_team_a_id,cricheroes_team_b_id,team_a_name,team_b_name,scheduled_at,started_at,ended_at,venue,overs_per_innings,players_per_side,cricheroes_toss_winner_id,toss_decision,status,result_type,cricheroes_winner_id,winner_name,win_margin,cricheroes_pom_player_id,pom_player_name,cricheroes_round_name,match_result,is_super_over,ground_name,city_name
3903839,443660,3,8,group,1597087,1597088,Rashtrakuta Ranadheeras,Kadamba Yodhas,2022-07-03T05:39:52.000Z,2022-07-03T05:39:52.000Z,2022-07-03 06:26:14,Pro Legacy Sports Academy,7,6,1597088,bowl,completed,normal,1597088,Kadamba Yodhas,3 wickets,7662592,Vittala,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903851,443660,3,9,group,1597090,1597091,Wodeyars The Kings,Vijayanagara Royals,2022-07-03T06:31:12.000Z,2022-07-03T06:31:12.000Z,2022-07-03 07:09:30,Pro Legacy Sports Academy,7,6,1597091,bowl,completed,normal,1597091,Vijayanagara Royals,2 wickets,4048334,Ravi Aniruddha,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903859,443660,3,10,group,1597088,1597084,Kadamba Yodhas,Hoysala Hunters,2022-07-03T07:13:23.000Z,2022-07-03T07:13:23.000Z,2022-07-03 07:59:57,Pro Legacy Sports Academy,7,6,1597084,bowl,completed,normal,1597084,Hoysala Hunters,4 wickets,8129644,Pavan Kashyap,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903870,443660,3,11,group,1597090,1597085,Wodeyars The Kings,Chalukya Chakravarthis,2022-07-03T08:04:47.000Z,2022-07-03T08:04:47.000Z,2022-07-03 08:44:18,Pro Legacy Sports Academy,7,6,1597085,bowl,completed,normal,1597090,Wodeyars The Kings,16 runs,4416809,Bharath G S Agasthya,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903903,443660,3,12,group,1597087,1597091,Rashtrakuta Ranadheeras,Vijayanagara Royals,2022-07-03T08:52:01.000Z,2022-07-03T08:52:01.000Z,2022-07-03 09:26:28,Pro Legacy Sports Academy,7,6,1597091,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,38 runs,8452770,Ashrith Kashyap,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903906,443660,3,13,group,1597085,1597088,Chalukya Chakravarthis,Kadamba Yodhas,2022-07-03T10:37:43.000Z,2022-07-03T10:37:43.000Z,2022-07-03 11:27:11,Pro Legacy Sports Academy,7,6,1597088,bowl,completed,normal,1597085,Chalukya Chakravarthis,19 runs,8445414,Tej,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903911,443660,3,14,group,1597091,1597084,Vijayanagara Royals,Hoysala Hunters,2022-07-03T11:35:42.000Z,2022-07-03T11:35:42.000Z,2022-07-03 12:10:08,Pro Legacy Sports Academy,7,6,1597091,bat,completed,normal,1597091,Vijayanagara Royals,3 runs,8445499,Paneendra Gautham,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
3903922,443660,3,15,group,1597087,1597090,Rashtrakuta Ranadheeras,Wodeyars The Kings,2022-07-03T12:16:47.000Z,2022-07-03T12:16:47.000Z,2022-07-03 12:52:49,Pro Legacy Sports Academy,7,6,1597090,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,29 runs,8452770,Ashrith Kashyap,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
4009802,443660,3,16,qualifier,1597084,1597087,Hoysala Hunters,Rashtrakuta Ranadheeras,2022-07-03T13:09:37.000Z,2022-07-03T13:09:37.000Z,2022-07-03 13:48:55,Pro Legacy Sports Academy,7,6,1597087,bowl,completed,normal,1597084,Hoysala Hunters,34 runs,8814171,Pavan Raghavendra,Qualifier 1,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
4010295,443660,3,17,qualifier,1597091,1597090,Vijayanagara Royals,Wodeyars The Kings,2022-07-03T14:52:35.000Z,2022-07-03T14:52:35.000Z,2022-07-03 15:23:55,Pro Legacy Sports Academy,7,6,1597090,bowl,completed,normal,1597091,Vijayanagara Royals,30 runs,5994303,Srikanth T K,Eliminator,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
4010487,443660,3,18,qualifier,1597091,1597087,Vijayanagara Royals,Rashtrakuta Ranadheeras,2022-07-03T15:39:26.000Z,2022-07-03T15:39:26.000Z,2022-07-03 16:05:33,Pro Legacy Sports Academy,7,6,1597091,bat,completed,normal,1597087,Rashtrakuta Ranadheeras,5 wickets,8452770,Ashrith Kashyap,Qualifier  2,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
4010588,443660,3,19,final,1597084,1597087,Hoysala Hunters,Rashtrakuta Ranadheeras,2022-07-03T16:13:18.000Z,2022-07-03T16:13:18.000Z,2022-07-03 16:47:56,Pro Legacy Sports Academy,7,6,1597084,bat,completed,normal,1597087,Rashtrakuta Ranadheeras,5 wickets,8452770,Ashrith Kashyap,Final,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
6946993,577076,4,1,group,1597090,1597087,Wodeyars The Kings,Rashtrakuta Ranadheeras,2023-06-10T10:51:00.000Z,2023-06-10T10:51:00.000Z,2023-06-10 11:26:24,Pro Legacy Sports Academy,7,6,1597087,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,5 wickets,8444550,Bharadwaj Srivatsa,Super League,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
6947000,577076,4,2,group,1597088,1597091,Kadamba Yodhas,Vijayanagara Royals,2023-06-10T11:32:06.000Z,2023-06-10T11:32:06.000Z,2023-06-10 12:15:24,Pro Legacy Sports Academy,7,6,1597091,bowl,completed,normal,1597088,Kadamba Yodhas,27 runs,8444531,Shreenidhi Prakash,Super League,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
6947011,577076,4,3,group,388115,1597084,lko lions,Hoysala Hunters,2023-06-10T12:19:09.000Z,2023-06-10T12:19:09.000Z,2023-06-10 12:51:07,Pro Legacy Sports Academy,7,6,1597084,bowl,completed,normal,1597084,Hoysala Hunters,4 wickets,8129644,Pavan Kashyap,Super League,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
6947023,577076,4,4,group,1597085,1597087,Chalukya Chakravarthis,Rashtrakuta Ranadheeras,2023-06-10T12:54:50.000Z,2023-06-10T12:54:50.000Z,2023-06-10 13:32:45,Pro Legacy Sports Academy,7,6,1597087,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,3 wickets,809163,Pranav Pk,Super League,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
6947039,577076,4,5,group,388115,1597090,lko lions,Wodeyars The Kings,2023-06-10T13:37:19.000Z,2023-06-10T13:37:19.000Z,2023-06-10 14:09:17,Pro Legacy Sports Academy,7,6,1597090,bowl,completed,normal,1597090,Wodeyars The Kings,4 wickets,8445342,Guruprasad Ramachandrachar,Super League,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
6947120,577076,4,6,group,1597084,1597088,Hoysala Hunters,Kadamba Yodhas,2023-06-10T14:12:54.000Z,2023-06-10T14:12:54.000Z,2023-06-10 15:02:32,Pro Legacy Sports Academy,7,6,1597088,bowl,completed,normal,1597084,Hoysala Hunters,55 runs,10031492,Mady,Super League,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
6947131,577076,4,7,group,1597091,1597085,Vijayanagara Royals,Chalukya Chakravarthis,2023-06-10T15:07:47.000Z,2023-06-10T15:07:47.000Z,2023-06-10 15:36:18,Pro Legacy Sports Academy,7,6,1597091,bat,completed,normal,1597085,Chalukya Chakravarthis,5 wickets,8445414,Tej,Super League,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
6947146,577076,4,8,group,388115,1597087,lko lions,Rashtrakuta Ranadheeras,2023-06-10T15:40:22.000Z,2023-06-10T15:40:22.000Z,2023-06-10 16:17:55,Pro Legacy Sports Academy,7,6,1597087,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,3 wickets,809163,Pranav Pk,Super League,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
