cricheroes_match_id,innings_number,cricheroes_team_id,batting_order,cricheroes_player_id,name,is_captain,runs,balls,minutes,fours,sixes,strike_rate,batting_hand,how_to_out,is_out
6947131,1,1597091,6,8444668,Srisha Badarayana H S,0,16,10,5,2,1,160.00,RHB,not out,0
6947131,1,1597091,7,4048334,Ravi Aniruddha,1,2,3,4,0,0,66.67,RHB,run out Vishnunandan,1
6947131,2,1597085,1,809867,Prabhav PK,0,13,6,3,0,2,216.67,RHB,retired hurt,1
6947131,2,1597085,2,8556484,Srinidhi NS,0,2,2,8,0,0,100.00,RHB,not out,0
6947131,2,1597085,3,8556544,Sudhindhra,0,9,6,2,0,1,150.00,RHB,retired hurt,1
6947131,2,1597085,4,8445414,Tej,0,34,9,3,1,5,377.78,RHB,not out,0
6947131,2,1597085,5,8846097,Vishnunandan,0,0,1,1,0,0,0.00,LHB,b Ravi Aniruddha,1
6947146,1,388115,1,8450899,Sandeep,0,4,6,6,0,0,66.67,LHB,retired,1
6947146,1,388115,2,8670699,Ajith P,0,0,2,10,0,0,0.00,RHB,not out,0
6947146,1,388115,3,10052159,Praveena,1,8,5,1,0,1,160.00,RHB,retired,1
6947146,1,388115,4,8556507,Prabhanjan,0,1,5,3,0,0,20.00,RHB,b Aditya Hatwar,1
6947146,1,388115,5,4416809,BHARATH G S AGASTHYA,0,23,18,12,2,2,127.78,RHB,c Ashrith Kashyap b Pranav PK,1
6947146,1,388115,6,8444682,Pavan Gautham,0,14,7,6,0,2,200.00,RHB,run out Aditya Hatwar / Ashrith Kashyap,1
6947146,2,1597087,1,8578931,Srihari,0,5,6,2,1,0,83.33,LHB,retired,1
6947146,2,1597087,2,809163,Pranav PK,0,18,11,7,1,2,163.64,RHB,not out,0
6947146,2,1597087,3,7662592,Vittala,0,0,0,4,0,0,0.00,RHB,retired,1
6947146,2,1597087,4,10031570,Sridhar Ramchandrachar,0,10,6,2,1,1,166.67,LHB,retired,1
